Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2013-01,Merseyside Police,Merseyside Police,-2.976116,53.296198,On or near Parking Area,E01018570,Cheshire West and Chester 004C,Anti-social behaviour,,
d4d34f38f0db0b0c357469a6c37eaf188ec0e9adb6ffe7b3b2bba2f96a3aafec,2013-01,Merseyside Police,Merseyside Police,-2.747770,53.389499,On or near Cronton Road,E01012393,Halton 001B,Burglary,Investigation complete; no suspect identified,
e4466a190908db2afcc0643b895012a789a5bb6f9727f30b6bd02e86309b7839,2013-01,Merseyside Police,Merseyside Police,-2.747770,53.389499,On or near Cronton Road,E01012393,Halton 001B,Drugs,Offender given a drugs possession warning,
6e0360451accfe132ca9b3b90866e6bee7517fcfd46b579f19b8786b5963bd1b,2013-01,Merseyside Police,Merseyside Police,-2.747770,53.389499,On or near Cronton Road,E01012393,Halton 001B,Drugs,Offender given a drugs possession warning,
,2013-01,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near Clorain Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-01,Merseyside Police,Merseyside Police,-2.874218,53.490968,On or near Oaklee Grove,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-01,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near Clorain Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-01,Merseyside Police,Merseyside Police,-2.874218,53.490968,On or near Oaklee Grove,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-01,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-01,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Anti-social behaviour,,
85f13d3c51f562f1d1a6a544f9f60b25d309f08a7e653065d6c763f98911a54a,2013-01,Merseyside Police,Merseyside Police,-2.873823,53.490090,On or near Kenbury Close,E01006448,Knowsley 001A,Burglary,Court result unavailable,
9ca071691a8b3792d16e50c8078519c0d73229adb112433e97d3e1da6cea4e26,2013-01,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Burglary,Court result unavailable,
20eff05afeb4e3d523649089b0d6c55309508d6e312e9141063a2533b9efbacf,2013-01,Merseyside Police,Merseyside Police,-2.873557,53.485957,On or near Sanderling Road,E01006448,Knowsley 001A,Criminal damage and arson,Investigation complete; no suspect identified,
8d68aaca15f9e19d307d15b8d386e097e900eb7207fb39de7e158a988b9b6ee3,2013-01,Merseyside Police,Merseyside Police,-2.873557,53.485957,On or near Sanderling Road,E01006448,Knowsley 001A,Criminal damage and arson,Offender given a caution,
2f9180cad7a26505046cb216b83734211241e4e4cc1156c6c0dca7b2a49ee3ff,2013-01,Merseyside Police,Merseyside Police,-2.871841,53.489745,On or near Gilescroft Avenue,E01006448,Knowsley 001A,Criminal damage and arson,Investigation complete; no suspect identified,
0bb1d9b600cf701b4d6bcf8ec05e704840b477c91841a7be61b333e3a64689ee,2013-01,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Criminal damage and arson,Status update unavailable,
c57534c45843dc731c77142948ff6ca6bc8c01b78edcc0843c3583a66c675da5,2013-01,Merseyside Police,Merseyside Police,-2.873557,53.485957,On or near Sanderling Road,E01006448,Knowsley 001A,Criminal damage and arson,Investigation complete; no suspect identified,
de11aa6c94ac92e63e0a177ffc13c7d7190df1d8fe4e9b16702428a61d1ee7d0,2013-01,Merseyside Police,Merseyside Police,-2.870599,53.485736,On or near Darmond Road,E01006448,Knowsley 001A,Criminal damage and arson,Investigation complete; no suspect identified,
4da700b02622c1688d5b108f0627882bc89639d09a3dc8d19ae35181dd361bd5,2013-01,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Drugs,Offender given conditional discharge,
98b8c30af4ff1f3f165a74088ba5ad0dbd1b1342dc4d18202d00df0b88b61640,2013-01,Merseyside Police,Merseyside Police,-2.873557,53.485957,On or near Sanderling Road,E01006448,Knowsley 001A,Drugs,Offender given penalty notice,
28af9c5fabe5bfe2eeb3856957a66c5d1a943ad71e7b410bcae5c739e3906ff7,2013-01,Merseyside Police,Merseyside Police,-2.872556,53.490045,On or near Whitburn Road,E01006448,Knowsley 001A,Drugs,Offender given penalty notice,
0341872762bda04195c857b8d51e9c41e902057665acdc1b75f78e8a3806d18e,2013-01,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Other theft,Offender given a caution,
5658c812dde84c6fd0842addbfc9efbf7649a5e1a8961fb5150182dafa2bb091,2013-01,Merseyside Police,Merseyside Police,-2.874809,53.488186,On or near Bigdale Court,E01006448,Knowsley 001A,Other theft,Investigation complete; no suspect identified,
8a54b9d8220eba9230fdb383de09b9b101c5837a1559173eebbbcb16e7eb0f66,2013-01,Merseyside Police,Merseyside Police,-2.869972,53.488240,On or near Roman Way,E01006448,Knowsley 001A,Vehicle crime,Investigation complete; no suspect identified,
b3980693079273f9e58288c2e0d17b806cbf3c35da153c6d845702c739333911,2013-01,Merseyside Police,Merseyside Police,-2.855148,53.485587,On or near Ashcroft Road,E01006448,Knowsley 001A,Vehicle crime,Status update unavailable,
,2013-01,Merseyside Police,Merseyside Police,-2.876353,53.497281,On or near Woodside Way,E01006492,Knowsley 001B,Anti-social behaviour,,
,2013-01,Merseyside Police,Merseyside Police,-2.878275,53.500574,On or near Avon Close,E01006492,Knowsley 001B,Anti-social behaviour,,
d52126a59841f95e5215e8d928516bbae769ed18abe664ee760043eae299c428,2013-01,Merseyside Police,Merseyside Police,-2.875415,53.496389,On or near Chamberlain Drive,E01006492,Knowsley 001B,Burglary,Court result unavailable,
48cd0e06c9a1f19fe8a199f16062068186ed3001cc22c300cd7fd1814795cec1,2013-01,Merseyside Police,Merseyside Police,-2.877522,53.499879,On or near Eden Close,E01006492,Knowsley 001B,Criminal damage and arson,Investigation complete; no suspect identified,
04965cc1fd952b8455199c9c65d2b579fda7dfc7b3d6861a72288806e243a8d2,2013-01,Merseyside Police,Merseyside Police,-2.876221,53.498935,On or near Woodberry Close,E01006492,Knowsley 001B,Criminal damage and arson,Investigation complete; no suspect identified,
