Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2013-04,Merseyside Police,Merseyside Police,-2.747770,53.389499,On or near Cronton Road,E01012393,Halton 001B,Anti-social behaviour,,
1fc9bcd295961db451668cccbe22bd98698d3bc492c9f22335ce23bdbe821399,2013-04,Merseyside Police,Merseyside Police,-2.780895,53.366491,On or near Beaufort Close,E01012389,Halton 008A,Criminal damage and arson,Investigation complete; no suspect identified,
,2013-04,Merseyside Police,Merseyside Police,-2.830329,53.334337,On or near Dungeon Lane,E01012401,Halton 008C,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.873954,53.490619,On or near Foscote Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.873954,53.490619,On or near Foscote Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.871665,53.488488,On or near Brook Hey Drive,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near Clorain Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.873954,53.490619,On or near Foscote Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near Clorain Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near Clorain Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near Clorain Road,E01006448,Knowsley 001A,Anti-social behaviour,,
294c27f2c3b6151d61c1aff949401ccdd7b694a435021d897fe286e0de775079,2013-04,Merseyside Police,Merseyside Police,-2.873954,53.490619,On or near Foscote Road,E01006448,Knowsley 001A,Criminal damage and arson,Investigation complete; no suspect identified,
6ee3de53ba07a52d9f164787a35210c3411427663b56f2c04c83bffde53640bc,2013-04,Merseyside Police,Merseyside Police,-2.869798,53.489346,On or near Jarrett Road,E01006448,Knowsley 001A,Drugs,Offender given a drugs possession warning,
5cc65c818f0692e1d568a9898349bd471e1cfff5865c67c4ac285cc2a76e3dea,2013-04,Merseyside Police,Merseyside Police,-2.846193,53.489210,On or near Moss End Way,E01006448,Knowsley 001A,Drugs,Local resolution,
d66a6da60c6e75ba7867c0e480c8606cf6b3c25d95cbf7b25829e112e5f6bb6b,2013-04,Merseyside Police,Merseyside Police,-2.870599,53.485736,On or near Darmond Road,E01006448,Knowsley 001A,Drugs,Offender given a drugs possession warning,
dd2099d02d00f97604a6534685aa7bd5a12f8faf12dae90ecbc8c897354bee09,2013-04,Merseyside Police,Merseyside Police,-2.873875,53.485290,On or near Harleston Road,E01006448,Knowsley 001A,Public disorder and weapons,Offender given penalty notice,
60815da3de0874afd0b0484812f054d99b53608fb39f514a58999d68510e9918,2013-04,Merseyside Police,Merseyside Police,-2.873557,53.485957,On or near Sanderling Road,E01006448,Knowsley 001A,Vehicle crime,Investigation complete; no suspect identified,
dbc75013b9013bcccef5974bd3bbf092fc321403b8f1ecd7dbdb942f1107a488,2013-04,Merseyside Police,Merseyside Police,-2.874218,53.490968,On or near Oaklee Grove,E01006448,Knowsley 001A,Violent crime,Investigation complete; no suspect identified,
,2013-04,Merseyside Police,Merseyside Police,-2.874557,53.498651,On or near Whitely Grove,E01006492,Knowsley 001B,Anti-social behaviour,,
8bf1a11769c2d83913fe411f7f56d4f262cb6c3cea70b8e62fa8aa100eb6107f,2013-04,Merseyside Police,Merseyside Police,-2.875415,53.496389,On or near Chamberlain Drive,E01006492,Knowsley 001B,Burglary,Investigation complete; no suspect identified,
858d68402f061c9cb833243b647437e4492b793c11abb277d93fff7bb755ee3b,2013-04,Merseyside Police,Merseyside Police,-2.873839,53.496733,On or near Anders Drive,E01006492,Knowsley 001B,Burglary,Investigation complete; no suspect identified,
b07ee4a0733474caea6fc1317cf73a33c23b28ab01fab0420199d2fcfe818d03,2013-04,Merseyside Police,Merseyside Police,-2.876353,53.497281,On or near Woodside Way,E01006492,Knowsley 001B,Other theft,Investigation complete; no suspect identified,
9edabd225b0b117c4980053795b80e681cb33c4acf0d6cd90451bf521dd04e92,2013-04,Merseyside Police,Merseyside Police,-2.879293,53.500944,On or near Douglas Way,E01006492,Knowsley 001B,Violent crime,Investigation complete; no suspect identified,
fd8aacd871bd255b26a2f7ab473653f723fed26e7f66cb9daff16752bf9be118,2013-04,Merseyside Police,Merseyside Police,-2.874813,53.499368,On or near Windfield Close,E01006492,Knowsley 001B,Violent crime,Status update unavailable,
,2013-04,Merseyside Police,Merseyside Police,-2.878750,53.498018,On or near Moorfield,E01006493,Knowsley 001C,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.884907,53.493982,On or near Sandringham Close,E01006493,Knowsley 001C,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.887382,53.497010,On or near Pinewood Gardens,E01006493,Knowsley 001C,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.882366,53.492877,On or near Riversdale Close,E01006493,Knowsley 001C,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.887382,53.497010,On or near Pinewood Gardens,E01006493,Knowsley 001C,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.886584,53.492729,On or near Devonshire Close,E01006493,Knowsley 001C,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.877622,53.498880,On or near Carlile Way,E01006493,Knowsley 001C,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.875018,53.498360,On or near Blackley Grove,E01006493,Knowsley 001C,Anti-social behaviour,,
83f22ebf68f367709fa167683172e2f2e3ba08ade8ab15c14a59b531659cc438,2013-04,Merseyside Police,Merseyside Police,-2.886584,53.492729,On or near Devonshire Close,E01006493,Knowsley 001C,Criminal damage and arson,Investigation complete; no suspect identified,
cb1f39c422553742ee1074256bbdc4133238df2819927d7d4b48d4c9bf5d67a6,2013-04,Merseyside Police,Merseyside Police,-2.879926,53.492940,On or near Bridgeview Drive,E01006493,Knowsley 001C,Criminal damage and arson,Investigation complete; no suspect identified,
97c75ca1061693786e4a13e95122a9526af73b2a1a2051e1286278fc964ead22,2013-04,Merseyside Police,Merseyside Police,-2.887991,53.496610,On or near Ashwood Close,E01006493,Knowsley 001C,Criminal damage and arson,Investigation complete; no suspect identified,
bec18cbe0bbda2c7da961d87e68abf7cf2cf805f16018ef46bcdbbe94ee3dcce,2013-04,Merseyside Police,Merseyside Police,-2.887382,53.497010,On or near Pinewood Gardens,E01006493,Knowsley 001C,Criminal damage and arson,Investigation complete; no suspect identified,
d544c66d8eca5f65cb09a5af8d9503485134c22a5925700c43ce87401fe0bc89,2013-04,Merseyside Police,Merseyside Police,-2.884907,53.493982,On or near Sandringham Close,E01006493,Knowsley 001C,Criminal damage and arson,Investigation complete; no suspect identified,
3bfe46dc72b4ded821c93c04e8180ab3e51f94e4dff9293da857b9dfbe77c8f5,2013-04,Merseyside Police,Merseyside Police,-2.875018,53.498360,On or near Blackley Grove,E01006493,Knowsley 001C,Drugs,Investigation complete; no suspect identified,
fb9c7f0a03155e19088a698dc638f17c4b33208b2a3b2301d7224cb6f8f5bc93,2013-04,Merseyside Police,Merseyside Police,-2.884907,53.493982,On or near Sandringham Close,E01006493,Knowsley 001C,Other theft,Investigation complete; no suspect identified,
b70b8d820a0521049491015371e91490d68300fa7151b11da3ed6b3a98781d4f,2013-04,Merseyside Police,Merseyside Police,-2.887991,53.496610,On or near Ashwood Close,E01006493,Knowsley 001C,Violent crime,Defendant found not guilty,
,2013-04,Merseyside Police,Merseyside Police,-2.875699,53.495560,On or near Loughlin Drive,E01006494,Knowsley 001D,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.877048,53.492269,On or near Bramcote Walk,E01006494,Knowsley 001D,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.877048,53.492269,On or near Bramcote Walk,E01006494,Knowsley 001D,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.875699,53.495560,On or near Loughlin Drive,E01006494,Knowsley 001D,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.874659,53.492628,On or near Bramcote Road,E01006494,Knowsley 001D,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.872797,53.495203,On or near Crofters Lane,E01006494,Knowsley 001D,Anti-social behaviour,,
,2013-04,Merseyside Police,Merseyside Police,-2.873261,53.492099,On or near Lapford Crescent,E01006494,Knowsley 001D,Anti-social behaviour,,
3e93d1502bd207c3f888d65353c9f4bfa9d25fcec72ad1a53675dbfc21ea0a70,2013-04,Merseyside Police,Merseyside Police,-2.875557,53.494527,On or near Cherry View,E01006494,Knowsley 001D,Burglary,Investigation complete; no suspect identified,
4a599df1fcafebefb0950f471a9da14bb20d2001600aec7679cba9bb13c85855,2013-04,Merseyside Police,Merseyside Police,-2.871699,53.491643,On or near Pentland Road,E01006494,Knowsley 001D,Criminal damage and arson,Status update unavailable,
dd641b8cf04cf69a4229270cc65e69df6b8f50630bad3e46cb37831bd977b221,2013-04,Merseyside Police,Merseyside Police,-2.873261,53.492099,On or near Lapford Crescent,E01006494,Knowsley 001D,Criminal damage and arson,Investigation complete; no suspect identified,
e0efc8414fa335a02d4b7742f2bd725c2692f261855ad78f0d1899828f8f527e,2013-04,Merseyside Police,Merseyside Police,-2.873261,53.492099,On or near Lapford Crescent,E01006494,Knowsley 001D,Criminal damage and arson,Investigation complete; no suspect identified,
d5576572092bee840e48f141517455843fffbddfced6428c8c2604672b6ca5ad,2013-04,Merseyside Police,Merseyside Police,-2.873631,53.494676,On or near Birchwood Way,E01006494,Knowsley 001D,Criminal damage and arson,Investigation complete; no suspect identified,
86e8410fdee6641c0b97f7275cb6ec126ae5a2110e4807f42faab16385646216,2013-04,Merseyside Police,Merseyside Police,-2.873261,53.492099,On or near Lapford Crescent,E01006494,Knowsley 001D,Criminal damage and arson,Investigation complete; no suspect identified,
f680540962b422e331c16b78bf288253cd4823ef720635fe57d649e215fb6cc7,2013-04,Merseyside Police,Merseyside Police,-2.875831,53.490273,On or near Linslade Crescent,E01006494,Knowsley 001D,Criminal damage and arson,Investigation complete; no suspect identified,
afa1775ab72e756d193bd84c55057c60b55e87891725b1a148550c54d78b36ff,2013-04,Merseyside Police,Merseyside Police,-2.871699,53.491643,On or near Pentland Road,E01006494,Knowsley 001D,Public disorder and weapons,Local resolution,
